ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
500|Südafrika Music|3|223|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
501|Kwaito|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
502|Mbaqanga|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
503|Amapiano|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
504|Maskandi|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
505|Gqom|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
506|Isicathamiya|4|500|Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional|Südafrika Music
507|Nigeria Music|3|223|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
508|Afrobeat|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
509|Highlife|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
510|Jùjú|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
511|Fuji|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
512|Afropop|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
513|Naija|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
514|Bongo Flava|4|507|Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional|Nigeria Music
563|Ägypten Music|3|223|Ägypten|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
564|Shaabi|4|563|Ägypten|EN|1900-now|A|Various|Unknown|Various|Traditional|Ägypten Music
565|Tarab|4|563|Ägypten|EN|1900-now|A|Various|Unknown|Various|Traditional|Ägypten Music
566|Mahraganat|4|563|Ägypten|EN|1900-now|A|Various|Unknown|Various|Traditional|Ägypten Music
567|Egyptian Pop|4|563|Ägypten|EN|1900-now|A|Various|Unknown|Various|Traditional|Ägypten Music
